bool_carrier_delay_min,bool_weather_delay_min,bool_traffic_delay_min,bool_security_delay_min,bool_late_aircraft_delay_min,carrier_name,is_late,cancelled,flight_number
False,False,True,True,True,Envoy Air,49,0,49
False,False,True,True,True,JetBlue Airways,60,0,60
False,False,True,True,True,PSA Airlines,99,0,99
False,False,True,True,True,Republic Airways,11,0,11
False,False,True,True,True,Southwest Airlines,221,0,221
False,False,True,True,True,Spirit Airlines,356,0,356
False,False,True,True,True,United Airlines,6,0,6
False,True,False,False,False,Alaska Airlines,456,0,456
False,True,False,False,False,Allegiant Air,867,0,867
False,True,False,False,False,American Airlines,2527,0,2527
False,True,False,False,False,Delta Air Lines,1966,0,1966
False,True,False,False,False,Endeavor Air,471,0,471
False,True,False,False,False,Envoy Air,932,0,932
False,True,False,False,False,Frontier Airlines,283,0,283
False,True,False,False,False,Hawaiian Airlines,104,0,104
False,True,False,False,False,JetBlue Airways,259,0,259
False,True,False,False,False,PSA Airlines,732,0,732
False,True,False,False,False,Republic Airways,559,0,559
False,True,False,False,False,SkyWest Airlines,9493,0,9493
False,True,False,False,False,Southwest Airlines,1062,0,1062
False,True,False,False,False,Spirit Airlines,514,0,514
False,True,False,False,False,United Airlines,1730,0,1730
False,True,False,False,True,Alaska Airlines,163,0,163
False,True,False,False,True,Allegiant Air,464,0,464
False,True,False,False,True,American Airlines,6507,0,6507
False,True,False,False,True,Delta Air Lines,1485,0,1485
False,True,False,False,True,Endeavor Air,405,0,405
False,True,False,False,True,Envoy Air,2309,0,2309
False,True,False,False,True,Frontier Airlines,275,0,275
False,True,False,False,True,Hawaiian Airlines,203,0,203
False,True,False,False,True,JetBlue Airways,367,0,367
False,True,False,False,True,PSA Airlines,1731,0,1731
False,True,False,False,True,Republic Airways,385,0,385
False,True,False,False,True,Southwest Airlines,2188,0,2188
False,True,False,False,True,Spirit Airlines,15,0,15
False,True,False,False,True,United Airlines,1259,0,1259
False,True,False,True,False,American Airlines,1,0,1
False,True,False,True,False,Delta Air Lines,1,0,1
False,True,False,True,False,Envoy Air,1,0,1
False,True,False,True,False,Hawaiian Airlines,3,0,3
False,True,False,True,False,Spirit Airlines,1,0,1
False,True,False,True,True,American Airlines,1,0,1
False,True,False,True,True,Envoy Air,1,0,1
False,True,False,True,True,PSA Airlines,1,0,1
False,True,False,True,True,Republic Airways,1,0,1
False,True,True,False,False,Alaska Airlines,1095,0,1095
False,True,True,False,False,Allegiant Air,721,0,721
False,True,True,False,False,American Airlines,4857,0,4857
False,True,True,False,False,Delta Air Lines,2371,0,2371
False,True,True,False,False,Endeavor Air,511,0,511
False,True,True,False,False,Envoy Air,2274,0,2274
False,True,True,False,False,Frontier Airlines,456,0,456
False,True,True,False,False,Hawaiian Airlines,14,0,14
False,True,True,False,False,JetBlue Airways,521,0,521
False,True,True,False,False,PSA Airlines,1217,0,1217
False,True,True,False,False,Republic Airways,1037,0,1037
False,True,True,False,False,SkyWest Airlines,8184,0,8184
False,True,True,False,False,Southwest Airlines,1395,0,1395
False,True,True,False,False,Spirit Airlines,1426,0,1426
False,True,True,False,False,United Airlines,2771,0,2771
False,True,True,False,True,Alaska Airlines,354,0,354
False,True,True,False,True,Allegiant Air,436,0,436
False,True,True,False,True,American Airlines,5490,0,5490
False,True,True,False,True,Delta Air Lines,1225,0,1225
False,True,True,False,True,Endeavor Air,416,0,416
False,True,True,False,True,Envoy Air,2655,0,2655
False,True,True,False,True,Frontier Airlines,391,0,391
