week_number,distance_category,is_late,cancelled,flight_number
26,600-999 miles,11943,629,40764
26,< 300 miles,5301,487,21521
26,≥ 2500 miles,706,26,3106
27,1000-1499 miles,4512,125,21486
27,1500-2499 miles,3420,101,16065
27,300-599 miles,6962,308,36513
27,600-999 miles,7714,315,39135
27,< 300 miles,3734,282,20473
27,≥ 2500 miles,564,12,3135
28,1000-1499 miles,6673,552,22535
28,1500-2499 miles,4827,249,16880
28,300-599 miles,10652,608,39373
28,600-999 miles,11651,886,41226
28,< 300 miles,5759,515,22065
28,≥ 2500 miles,770,29,3166
29,1000-1499 miles,8299,1508,22564
29,1500-2499 miles,5863,1525,16906
29,300-599 miles,13853,2900,39391
29,600-999 miles,15038,2862,41216
29,< 300 miles,7293,1502,22075
29,≥ 2500 miles,820,181,3166
30,1000-1499 miles,7160,496,22581
30,1500-2499 miles,4954,446,16905
30,300-599 miles,11340,1045,39389
30,600-999 miles,12367,921,41196
30,< 300 miles,5932,522,22065
30,≥ 2500 miles,727,44,3166
31,1000-1499 miles,6498,787,22517
31,1500-2499 miles,4989,430,16843
31,300-599 miles,10860,1395,39361
31,600-999 miles,11770,1545,41065
31,< 300 miles,5726,839,22057
31,≥ 2500 miles,820,69,3161
32,1000-1499 miles,6482,705,21613
32,1500-2499 miles,4647,382,16214
32,300-599 miles,10483,1277,39351
32,600-999 miles,11672,1387,39392
32,< 300 miles,5669,739,22145
32,≥ 2500 miles,760,56,3051
33,1000-1499 miles,4254,206,21200
33,1500-2499 miles,3345,172,15885
33,300-599 miles,6835,339,39075
33,600-999 miles,7426,374,38918
33,< 300 miles,3996,267,22190
33,≥ 2500 miles,621,31,3041
34,1000-1499 miles,4538,161,21129
34,1500-2499 miles,2871,86,15472
34,300-599 miles,6518,275,39280
34,600-999 miles,7409,363,38548
34,< 300 miles,3392,272,22380
34,≥ 2500 miles,514,9,2849
35,1000-1499 miles,4168,75,20132
35,1500-2499 miles,2878,76,14695
35,300-599 miles,6670,431,36846
35,600-999 miles,7058,289,36415
35,< 300 miles,3686,245,21118
35,≥ 2500 miles,479,9,2802
36,1000-1499 miles,2725,40,20278
36,1500-2499 miles,1797,26,14559
36,300-599 miles,4813,70,37774
36,600-999 miles,4994,71,37119
36,< 300 miles,2929,37,21646
36,≥ 2500 miles,378,4,2722
37,1000-1499 miles,2647,73,20294
37,1500-2499 miles,1923,27,14774
37,300-599 miles,4737,195,39040
37,600-999 miles,4760,111,37495
37,< 300 miles,2785,45,22245
37,≥ 2500 miles,379,5,2668
38,1000-1499 miles,3110,10,20255
38,1500-2499 miles,2616,15,14745
38,300-599 miles,5893,34,39021
38,600-999 miles,5675,28,37503
38,< 300 miles,3365,32,22239
38,≥ 2500 miles,436,4,2673
39,1000-1499 miles,3466,319,20351
39,1500-2499 miles,2551,166,14845
39,300-599 miles,7404,701,39122
39,600-999 miles,6881,791,37677
39,< 300 miles,3913,466,22286
39,≥ 2500 miles,443,20,2660
40,1000-1499 miles,2473,28,20786
40,1500-2499 miles,1862,33,14870
40,300-599 miles,5159,137,39341
40,600-999 miles,4717,65,38272
40,< 300 miles,2958,127,22331
40,≥ 2500 miles,366,12,2656
41,1000-1499 miles,2747,1379,21558
41,1500-2499 miles,1865,376,15096
41,300-599 miles,5018,1030,40322
41,600-999 miles,4729,2193,39428
41,< 300 miles,2710,228,22730
41,≥ 2500 miles,395,54,2653
42,1000-1499 miles,3200,69,21662
42,1500-2499 miles,2152,22,15082
42,300-599 miles,5636,82,40267
42,600-999 miles,5494,105,39487
42,< 300 miles,3309,23,22692
42,≥ 2500 miles,328,5,2652
43,1000-1499 miles,2384,28,21624
43,1500-2499 miles,1695,20,14985
43,300-599 miles,4682,50,39946
43,600-999 miles,4330,98,39127
43,< 300 miles,2676,57,22478
43,≥ 2500 miles,419,1,2640
44,1000-1499 miles,2729,41,20663
44,1500-2499 miles,1746,11,13985
44,300-599 miles,4188,39,36636
44,600-999 miles,4389,107,36033
44,< 300 miles,2508,62,20855
44,≥ 2500 miles,328,3,2511
45,1000-1499 miles,3429,240,20662
45,1500-2499 miles,2031,65,13883
45,300-599 miles,5389,446,36117
45,600-999 miles,6110,463,35728
45,< 300 miles,3073,379,20615
45,≥ 2500 miles,304,1,2536
46,1000-1499 miles,2181,11,21494
46,1500-2499 miles,1512,23,14380
46,300-599 miles,4000,40,38211
46,600-999 miles,3641,40,37428
46,< 300 miles,2249,22,21743
46,≥ 2500 miles,309,10,2608
47,1000-1499 miles,3449,31,22625
47,1500-2499 miles,2530,35,14889
47,300-599 miles,6279,225,39062
47,600-999 miles,5937,126,38672
47,< 300 miles,3312,200,22028
47,≥ 2500 miles,601,9,2769
48,1000-1499 miles,3546,21,22313
48,1500-2499 miles,2595,18,14386
48,300-599 miles,5972,37,37107
48,600-999 miles,5851,44,37553
48,< 300 miles,3143,55,20535
48,≥ 2500 miles,458,8,2804
49,1000-1499 miles,3876,30,21545
49,1500-2499 miles,2088,17,13943
49,300-599 miles,6277,131,36578
49,600-999 miles,6028,82,36251
49,< 300 miles,3909,113,20952
49,≥ 2500 miles,406,5,2686
50,1000-1499 miles,3246,62,21363
50,1500-2499 miles,2021,20,13757
50,300-599 miles,6005,173,36660
50,600-999 miles,5342,130,35880
50,< 300 miles,3579,180,20866
50,≥ 2500 miles,450,5,2643
51,1000-1499 miles,5672,225,23683
51,1500-2499 miles,3377,98,14996
51,300-599 miles,8155,438,36774
51,600-999 miles,8295,230,37998
51,< 300 miles,4290,255,20530
51,≥ 2500 miles,750,15,2887
52,1000-1499 miles,7306,319,24017
52,1500-2499 miles,3636,72,15373
52,300-599 miles,8712,347,34051
52,600-999 miles,10402,579,36828
52,< 300 miles,4446,383,18626
52,≥ 2500 miles,680,18,3014
