origin_city,dest_city,bool_carrier_delay_min,bool_weather_delay_min,bool_traffic_delay_min,bool_security_delay_min,bool_late_aircraft_delay_min,is_late,cancelled,flight_number
"Anchorage, AK","Adak Island, AK",4,0,5,0,3,11,8,104
"Anchorage, AK","Atlanta, GA",56,0,31,0,45,62,4,109
"Anchorage, AK","Barrow, AK",53,4,51,0,52,97,16,363
"Anchorage, AK","Bethel, AK",62,18,65,0,58,134,8,726
"Anchorage, AK","Chicago, IL",106,0,122,0,95,180,8,783
"Anchorage, AK","Cordova, AK",27,4,33,0,45,72,0,363
"Anchorage, AK","Dallas/Fort Worth, TX",52,3,23,2,47,71,2,381
"Anchorage, AK","Deadhorse, AK",27,11,33,0,22,62,17,570
"Anchorage, AK","Denver, CO",47,0,35,0,35,66,4,603
"Anchorage, AK","Detroit, MI",15,0,0,0,15,16,2,45
"Anchorage, AK","Dillingham, AK",4,3,5,0,2,10,3,110
"Anchorage, AK","Fairbanks, AK",55,2,55,0,49,106,7,791
"Anchorage, AK","Honolulu, HI",19,2,28,0,11,41,6,366
"Anchorage, AK","Houston, TX",18,0,11,0,9,20,6,126
"Anchorage, AK","Juneau, AK",88,6,88,1,62,175,5,1218
"Anchorage, AK","Kahului, HI",2,0,2,0,1,4,6,34
"Anchorage, AK","King Salmon, AK",18,0,22,0,16,31,0,178
"Anchorage, AK","Kodiak, AK",41,18,48,0,68,115,28,816
"Anchorage, AK","Kona, HI",5,3,6,0,7,16,5,92
"Anchorage, AK","Kotzebue, AK",15,7,18,0,6,30,14,304
"Anchorage, AK","Las Vegas, NV",4,1,9,0,4,13,0,117
"Anchorage, AK","Los Angeles, CA",22,3,28,0,21,52,4,348
"Anchorage, AK","Minneapolis, MN",69,1,67,0,54,117,5,655
"Anchorage, AK","New York, NY",3,0,9,0,7,12,0,68
"Anchorage, AK","Newark, NJ",22,2,15,0,24,29,3,103
"Anchorage, AK","Nome, AK",30,4,32,0,41,68,10,364
"Anchorage, AK","Phoenix, AZ",24,1,33,0,14,42,6,353
"Anchorage, AK","Portland, OR",24,3,31,0,16,51,5,358
"Anchorage, AK","Salt Lake City, UT",10,0,9,0,7,17,2,121
"Anchorage, AK","San Diego, CA",0,0,2,0,1,2,0,20
"Anchorage, AK","San Francisco, CA",26,0,29,0,27,50,3,264
"Anchorage, AK","Seattle, WA",532,43,627,3,435,1091,88,7587
"Anchorage, AK","Washington, DC",13,0,7,0,10,17,2,103
"Appleton, WI","Atlanta, GA",31,8,19,0,1,49,3,369
"Appleton, WI","Charlotte, NC",43,11,28,0,34,64,6,365
"Appleton, WI","Chicago, IL",273,35,218,0,205,500,52,1868
"Appleton, WI","Dallas/Fort Worth, TX",15,2,6,0,2,19,1,209
"Appleton, WI","Denver, CO",54,7,28,0,9,75,6,435
"Appleton, WI","Detroit, MI",106,40,35,1,1,150,8,817
"Appleton, WI","Fort Lauderdale, FL",4,1,9,0,1,14,1,41
"Appleton, WI","Jacksonville, FL",0,0,0,0,0,0,0,2
"Appleton, WI","Las Vegas, NV",8,7,19,0,3,24,3,150
"Appleton, WI","Los Angeles, CA",0,0,0,0,1,1,0,2
"Appleton, WI","Minneapolis, MN",131,62,111,0,16,217,14,948
"Appleton, WI","Nashville, TN",6,2,6,0,10,12,2,135
"Appleton, WI","Newark, NJ",1,0,2,0,0,2,1,48
"Appleton, WI","Phoenix, AZ",16,4,9,0,2,23,2,198
"Appleton, WI","Portland, OR",4,0,2,0,0,5,0,46
"Appleton, WI","Punta Gorda, FL",9,3,22,0,8,30,4,162
"Appleton, WI","Sanford, FL",9,5,19,0,4,29,3,192
"Appleton, WI","Sarasota/Bradenton, FL",5,0,3,0,5,9,2,66
"Appleton, WI","Savannah, GA",1,1,0,0,1,3,2,35
"Appleton, WI","St. Petersburg, FL",6,5,17,0,5,22,5,171
"Arcata/Eureka, CA","Denver, CO",16,9,25,0,21,55,5,318
"Arcata/Eureka, CA","Los Angeles, CA",11,5,26,0,26,56,3,366
"Arcata/Eureka, CA","San Francisco, CA",103,32,169,1,65,286,25,1053
"Asheville, NC","Atlanta, GA",226,28,141,0,193,336,53,2159
"Asheville, NC","Austin, TX",4,2,17,2,18,23,2,106
"Asheville, NC","Baltimore, MD",13,8,14,0,22,33,2,84
"Asheville, NC","Boston, MA",18,5,31,1,17,42,5,214
"Asheville, NC","Charlotte, NC",248,23,353,2,326,532,69,2112
"Asheville, NC","Chicago, IL",200,15,163,0,148,293,38,1204
"Asheville, NC","Concord, NC",1,0,1,0,0,1,0,1
"Asheville, NC","Dallas/Fort Worth, TX",115,18,70,0,104,170,20,592
"Asheville, NC","Denver, CO",43,6,45,1,27,78,9,391
