month,origin_city,dest_city,is_late,cancelled,flight_number
1,"Atlanta, GA","Myrtle Beach, SC",13,0,101
1,"Atlanta, GA","Nashville, TN",51,10,271
1,"Atlanta, GA","New Orleans, LA",96,0,381
1,"Atlanta, GA","New York, NY",165,8,887
1,"Atlanta, GA","Newark, NJ",76,16,461
1,"Atlanta, GA","Norfolk, VA",28,2,167
1,"Atlanta, GA","Oklahoma City, OK",30,2,167
1,"Atlanta, GA","Omaha, NE",27,2,167
1,"Atlanta, GA","Ontario, CA",10,0,63
1,"Atlanta, GA","Orlando, FL",183,4,792
1,"Atlanta, GA","Palm Springs, CA",3,0,31
1,"Atlanta, GA","Panama City, FL",30,0,163
1,"Atlanta, GA","Pensacola, FL",27,0,175
1,"Atlanta, GA","Philadelphia, PA",81,2,421
1,"Atlanta, GA","Phoenix, AZ",57,0,274
1,"Atlanta, GA","Pittsburgh, PA",31,0,199
1,"Atlanta, GA","Portland, ME",3,0,31
1,"Atlanta, GA","Portland, OR",8,0,77
1,"Atlanta, GA","Providence, RI",14,0,74
1,"Atlanta, GA","Raleigh/Durham, NC",59,1,366
1,"Atlanta, GA","Richmond, VA",43,0,245
1,"Atlanta, GA","Roanoke, VA",18,2,92
1,"Atlanta, GA","Rochester, NY",14,0,75
1,"Atlanta, GA","Sacramento, CA",8,0,73
1,"Atlanta, GA","Salt Lake City, UT",49,0,257
1,"Atlanta, GA","San Antonio, TX",39,0,231
1,"Atlanta, GA","San Diego, CA",16,0,143
1,"Atlanta, GA","San Francisco, CA",36,3,204
1,"Atlanta, GA","San Jose, CA",7,0,58
1,"Atlanta, GA","San Juan, PR",36,1,209
1,"Atlanta, GA","Santa Ana, CA",13,0,69
1,"Atlanta, GA","Sarasota/Bradenton, FL",49,0,239
1,"Atlanta, GA","Savannah, GA",29,0,196
1,"Atlanta, GA","Seattle, WA",31,15,233
1,"Atlanta, GA","Shreveport, LA",16,8,82
1,"Atlanta, GA","Sioux Falls, SD",4,0,34
1,"Atlanta, GA","South Bend, IN",31,4,85
1,"Atlanta, GA","Spokane, WA",9,0,31
1,"Atlanta, GA","Springfield, MO",30,0,87
1,"Atlanta, GA","St. Louis, MO",57,3,256
