month,dest_city,bool_carrier_delay_min,bool_weather_delay_min,bool_traffic_delay_min,bool_security_delay_min,bool_late_aircraft_delay_min,is_late,cancelled,flight_number
1,"Fort Myers, FL",534,87,759,6,482,1057,144,3842
1,"Fort Smith, AR",9,7,7,0,10,20,10,93
1,"Fort Wayne, IN",35,10,26,0,29,68,19,312
1,"Fresno, CA",105,21,86,0,99,194,9,872
1,"Gainesville, FL",15,5,15,0,15,32,4,205
1,"Garden City, KS",3,3,2,0,3,10,8,62
1,"Gillette, WY",3,1,3,0,2,7,3,61
1,"Grand Forks, ND",18,1,10,0,6,22,0,119
1,"Grand Island, NE",6,5,4,0,1,13,5,81
1,"Grand Junction, CO",32,6,28,0,22,59,3,277
1,"Grand Rapids, MI",208,68,180,3,208,422,97,1569
1,"Great Falls, MT",23,7,14,0,11,41,4,217
1,"Green Bay, WI",63,18,48,0,24,107,19,332
1,"Greensboro/High Point, NC",80,32,74,2,104,173,24,917
1,"Greer, SC",144,40,136,1,155,264,34,1209
1,"Guam, TT",3,0,0,0,5,6,0,62
1,"Gulfport/Biloxi, MS",19,15,32,0,30,49,5,234
1,"Gunnison, CO",15,6,7,1,11,29,2,100
1,"Hagerstown, MD",3,0,2,0,1,3,0,17
1,"Hancock/Houghton, MI",6,0,3,0,4,10,12,61
1,"Harlingen/San Benito, TX",30,8,18,0,51,65,5,337
1,"Harrisburg, PA",45,16,34,0,31,76,10,363
1,"Hartford, CT",285,45,238,5,254,439,55,1604
1,"Hattiesburg/Laurel, MS",3,0,2,0,4,7,3,52
1,"Hayden, CO",56,5,45,0,52,90,1,418
1,"Hays, KS",6,1,7,0,11,19,6,61
1,"Helena, MT",17,6,16,0,10,33,4,161
1,"Hibbing, MN",10,3,2,0,0,13,0,51
1,"Hilo, HI",102,30,7,1,108,142,6,597
1,"Hilton Head, SC",6,2,1,0,5,9,3,62
1,"Honolulu, HI",892,300,728,20,680,1487,147,5171
1,"Houston, TX",1631,177,1794,22,1485,2979,665,13545
1,"Huntsville, AL",70,27,75,0,81,142,49,676
1,"Idaho Falls, ID",22,10,25,0,9,42,3,227
1,"Indianapolis, IN",507,73,407,9,475,821,94,3552
1,"International Falls, MN",5,2,1,0,0,7,1,51
1,"Iron Mountain/Kingsfd, MI",12,6,7,0,0,16,1,61
1,"Islip, NY",84,1,50,0,95,123,9,479
1,"Ithaca/Cortland, NY",5,2,6,0,7,11,5,62
1,"Jackson, WY",75,15,62,0,49,119,8,556
1,"Jackson/Vicksburg, MS",65,12,72,0,66,123,11,529
1,"Jacksonville, FL",344,48,317,4,339,588,41,2310
1,"Jacksonville/Camp Lejeune, NC",5,1,3,0,3,8,1,71
1,"Jamestown, ND",3,1,2,0,1,5,7,56
1,"Johnstown, PA",5,3,3,0,4,14,11,62
1,"Joplin, MO",1,0,4,0,4,7,7,51
1,"Juneau, AK",28,5,42,1,49,86,16,334
1,"Kahului, HI",295,56,128,1,223,433,85,2261
1,"Kalamazoo, MI",16,5,7,0,0,23,8,82
1,"Kalispell, MT",21,10,23,0,17,49,16,250
1,"Kansas City, MO",562,71,458,7,518,880,173,3781
1,"Ketchikan, AK",10,8,20,0,23,43,13,182
1,"Key West, FL",101,30,151,2,81,213,16,854
1,"Killeen, TX",13,9,11,0,9,26,9,129
1,"Knoxville, TN",155,37,150,1,174,292,62,1119
1,"Kodiak, AK",1,1,5,0,10,13,5,57
1,"Kona, HI",211,40,122,0,190,328,65,1402
1,"Kotzebue, AK",0,1,3,0,4,4,3,30
1,"La Crosse, WI",0,1,0,0,1,1,1,6
1,"Lafayette, LA",32,13,39,0,22,63,16,216
1,"Lake Charles, LA",11,5,5,0,1,16,5,93
1,"Lansing, MI",26,8,18,0,8,40,9,103
1,"Laramie, WY",4,0,4,0,2,6,7,52
1,"Laredo, TX",16,4,23,0,13,28,2,129
1,"Las Vegas, NV",1578,199,1763,17,1838,3183,385,14943
1,"Latrobe, PA",4,0,3,0,1,5,1,31
1,"Lawton/Fort Sill, OK",6,5,8,0,9,16,5,91
1,"Lewiston, ID",13,3,10,1,5,22,2,93
1,"Lexington, KY",77,19,67,0,67,138,19,633
1,"Liberal, KS",1,0,1,0,0,1,0,11
1,"Lihue, HI",183,56,141,1,171,312,7,1323
1,"Lincoln, NE",8,0,9,0,5,17,4,47
1,"Little Rock, AR",125,33,124,1,125,231,28,900
1,"Long Beach, CA",126,14,71,2,161,237,24,1487
1,"Longview, TX",2,5,2,0,0,9,3,61
1,"Los Angeles, CA",1675,257,1331,22,1166,2643,491,15220
1,"Louisville, KY",222,48,199,5,214,390,35,1754
1,"Lubbock, TX",58,15,40,1,81,111,19,477
1,"Madison, WI",137,30,85,0,101,210,34,838
1,"Manchester, NH",58,10,28,1,61,86,17,361
1,"Manhattan/Ft. Riley, KS",9,6,9,0,11,21,2,93
1,"Marquette, MI",2,0,2,0,4,4,3,31
1,"Mason City, IA",3,2,4,0,6,12,5,52
1,"Medford, OR",45,17,37,0,9,67,2,363
1,"Melbourne, FL",25,6,17,2,27,48,0,223
1,"Memphis, TN",210,48,210,6,219,392,55,1673
1,"Meridian, MS",6,0,0,0,3,9,4,52
1,"Miami, FL",1562,232,2146,24,1249,2949,256,10210
1,"Midland/Odessa, TX",67,15,62,1,85,136,20,686
1,"Milwaukee, WI",317,41,241,3,251,513,137,2159
1,"Minneapolis, MN",1015,299,728,5,613,1681,183,9431
1,"Minot, ND",18,8,23,0,8,39,17,189
1,"Mission/McAllen/Edinburg, TX",38,12,32,0,34,67,8,286
1,"Missoula, MT",29,12,18,0,14,54,13,242
1,"Moab, UT",2,1,1,0,3,6,2,31
1,"Mobile, AL",23,13,18,0,17,43,3,192
1,"Moline, IL",37,15,35,0,28,69,41,346
1,"Monroe, LA",22,4,14,2,14,35,7,155
1,"Monterey, CA",35,5,32,0,16,54,1,309
1,"Montgomery, AL",24,14,17,0,24,45,5,189
1,"Montrose/Delta, CO",51,9,52,1,45,97,3,376
1,"Mosinee, WI",6,1,5,0,6,10,2,62
1,"Myrtle Beach, SC",87,26,86,0,66,154,8,780
1,"Nashville, TN",934,105,834,12,950,1583,496,7553
1,"New Orleans, LA",638,87,682,8,609,1115,100,4060
1,"New York, NY",2458,454,2637,18,2263,4657,872,22185
1,"Newark, NJ",963,134,823,10,794,1648,728,10179
1,"Newburgh/Poughkeepsie, NY",2,0,1,0,1,3,0,30
1,"Niagara Falls, NY",2,0,1,0,1,3,2,38
1,"Nome, AK",1,1,2,0,5,6,3,30
1,"Norfolk, VA",217,36,177,3,203,348,27,1483
1,"North Bend/Coos Bay, OR",0,1,1,0,0,2,1,17
1,"North Platte, NE",6,0,6,0,2,8,1,51
