month,origin_city,bool_carrier_delay_min,bool_weather_delay_min,bool_traffic_delay_min,bool_security_delay_min,bool_late_aircraft_delay_min,is_late,cancelled,flight_number
1,"Fort Myers, FL",386,27,399,0,582,803,148,3839
1,"Fort Smith, AR",12,10,20,0,9,28,11,93
1,"Fort Wayne, IN",49,15,64,0,39,103,21,312
1,"Fresno, CA",74,16,62,3,74,155,8,871
1,"Gainesville, FL",17,0,6,0,17,24,5,205
1,"Garden City, KS",9,3,6,0,2,14,8,62
1,"Gillette, WY",4,3,8,0,3,12,3,61
1,"Grand Forks, ND",16,5,12,0,5,23,0,119
1,"Grand Island, NE",16,3,16,0,3,24,5,81
1,"Grand Junction, CO",28,5,14,0,15,43,3,277
1,"Grand Rapids, MI",168,105,338,1,203,473,99,1569
1,"Great Falls, MT",15,14,21,1,15,45,4,217
1,"Green Bay, WI",47,16,36,0,18,91,20,332
1,"Greensboro/High Point, NC",67,8,88,0,80,152,22,915
1,"Greer, SC",104,21,94,1,124,214,37,1207
1,"Guam, TT",1,0,0,0,1,1,0,62
1,"Gulfport/Biloxi, MS",10,14,20,0,24,42,5,234
1,"Gunnison, CO",6,3,14,2,18,26,2,100
1,"Hagerstown, MD",3,1,2,0,4,5,0,17
1,"Hancock/Houghton, MI",6,2,5,0,5,13,13,61
1,"Harlingen/San Benito, TX",19,4,30,0,43,62,4,338
1,"Harrisburg, PA",25,11,46,0,33,73,11,363
1,"Hartford, CT",191,32,289,7,213,407,62,1602
1,"Hattiesburg/Laurel, MS",2,0,0,0,3,5,3,52
1,"Hayden, CO",55,6,76,0,78,117,1,418
1,"Hays, KS",1,1,6,0,13,15,7,61
1,"Helena, MT",23,8,24,0,11,43,5,161
1,"Hibbing, MN",8,2,2,0,0,9,0,51
1,"Hilo, HI",67,35,30,16,88,120,6,597
1,"Hilton Head, SC",2,1,5,0,9,10,5,62
1,"Honolulu, HI",644,137,101,3,655,971,144,5169
1,"Houston, TX",1834,245,1649,10,1773,3091,657,13538
1,"Huntsville, AL",66,32,78,0,95,153,48,675
1,"Idaho Falls, ID",15,15,21,0,11,37,3,228
1,"Indianapolis, IN",351,46,472,1,345,729,90,3552
1,"International Falls, MN",4,1,0,0,0,4,1,51
1,"Iron Mountain/Kingsfd, MI",14,8,11,0,0,22,1,61
1,"Islip, NY",41,4,81,1,67,115,9,479
1,"Ithaca/Cortland, NY",1,2,3,0,5,8,5,62
1,"Jackson, WY",68,10,71,0,75,137,9,556
1,"Jackson/Vicksburg, MS",29,25,45,1,57,85,12,526
1,"Jacksonville, FL",206,33,204,0,293,436,44,2311
1,"Jacksonville/Camp Lejeune, NC",2,0,6,0,9,12,1,71
1,"Jamestown, ND",0,0,1,0,3,4,8,56
1,"Johnstown, PA",4,1,7,0,10,14,9,62
1,"Joplin, MO",8,0,5,0,1,11,6,51
1,"Juneau, AK",31,19,71,0,45,99,15,334
1,"Kahului, HI",273,96,104,1,296,427,96,2263
1,"Kalamazoo, MI",13,9,6,0,0,23,8,82
1,"Kalispell, MT",30,20,39,2,20,75,16,249
1,"Kansas City, MO",518,91,708,3,510,989,184,3780
1,"Ketchikan, AK",5,4,13,0,26,33,12,182
1,"Key West, FL",140,16,99,16,179,228,21,856
1,"Killeen, TX",18,7,17,0,14,33,9,129
1,"Knoxville, TN",112,32,161,1,141,270,70,1117
1,"Kodiak, AK",4,3,3,0,9,15,3,56
1,"Kona, HI",138,61,74,0,195,245,73,1402
1,"Kotzebue, AK",0,0,3,0,3,4,4,30
1,"La Crosse, WI",1,0,0,0,0,1,1,6
1,"Lafayette, LA",17,23,22,1,33,50,16,217
1,"Lake Charles, LA",14,3,5,0,3,22,5,93
1,"Lansing, MI",19,4,19,0,11,36,8,103
1,"Laramie, WY",0,0,3,1,3,4,6,52
1,"Laredo, TX",7,2,11,0,17,26,2,129
1,"Las Vegas, NV",1726,48,1444,5,1835,3038,374,14942
1,"Latrobe, PA",1,1,4,0,5,7,1,31
1,"Lawton/Fort Sill, OK",10,7,7,0,6,21,5,91
1,"Lewiston, ID",16,2,9,1,6,26,3,93
1,"Lexington, KY",69,24,101,1,75,166,15,632
1,"Liberal, KS",1,0,1,0,0,1,2,11
1,"Lihue, HI",130,79,107,0,230,309,8,1323
1,"Lincoln, NE",3,2,10,0,11,17,3,48
1,"Little Rock, AR",76,61,136,0,123,236,26,900
1,"Long Beach, CA",113,7,103,0,165,243,25,1487
1,"Longview, TX",9,6,7,0,1,16,3,61
1,"Los Angeles, CA",1594,83,1517,21,1139,2726,471,15228
1,"Louisville, KY",190,35,246,0,160,391,37,1755
1,"Lubbock, TX",31,20,34,0,58,91,19,477
1,"Madison, WI",126,34,129,3,68,239,41,836
1,"Manchester, NH",28,6,52,0,44,78,13,362
1,"Manhattan/Ft. Riley, KS",5,6,10,0,12,19,2,93
1,"Marquette, MI",0,0,1,0,2,2,3,31
1,"Mason City, IA",1,3,4,0,10,14,8,52
1,"Medford, OR",29,8,12,0,14,48,3,363
1,"Melbourne, FL",16,4,6,0,29,38,0,223
1,"Memphis, TN",156,56,231,1,163,373,62,1673
1,"Meridian, MS",2,0,0,0,2,4,6,52
1,"Miami, FL",2010,95,1839,32,1777,3075,258,10214
1,"Midland/Odessa, TX",36,20,57,2,64,116,17,688
1,"Milwaukee, WI",252,93,346,0,238,555,145,2161
1,"Minneapolis, MN",1080,193,907,0,445,1748,175,9438
1,"Minot, ND",27,13,28,1,10,53,16,189
1,"Mission/McAllen/Edinburg, TX",15,4,24,3,36,54,9,285
1,"Missoula, MT",28,22,38,2,19,65,17,242
1,"Moab, UT",1,0,0,0,2,3,2,31
1,"Mobile, AL",16,12,20,0,17,39,3,192
1,"Moline, IL",26,32,57,1,40,96,46,346
1,"Monroe, LA",19,4,29,0,24,48,7,155
1,"Monterey, CA",18,2,23,0,26,40,1,309
1,"Montgomery, AL",29,8,20,0,28,49,6,189
1,"Montrose/Delta, CO",24,5,45,2,59,77,4,376
1,"Mosinee, WI",2,0,1,0,5,7,2,62
1,"Myrtle Beach, SC",26,9,47,0,72,102,11,780
1,"Nashville, TN",797,216,923,2,993,1654,522,7556
1,"New Orleans, LA",509,54,507,1,675,975,115,4065
1,"New York, NY",2621,297,2865,19,2210,4654,860,22171
1,"Newark, NJ",1204,112,1075,6,961,1859,706,10176
1,"Newburgh/Poughkeepsie, NY",4,1,8,0,3,7,0,30
1,"Niagara Falls, NY",7,2,10,0,2,13,2,38
1,"Nome, AK",0,1,3,0,4,4,3,30
1,"Norfolk, VA",100,9,150,0,150,260,32,1482
1,"North Bend/Coos Bay, OR",1,1,0,0,1,3,1,17
1,"North Platte, NE",3,0,6,0,5,9,1,51
1,"Oakland, CA",348,12,260,1,351,585,61,3538
1,"Oklahoma City, OK",145,36,189,0,161,331,60,1732
1,"Omaha, NE",247,86,322,0,199,485,109,1904
1,"Ontario, CA",135,11,103,1,169,265,42,1888
1,"Orlando, FL",2235,156,2109,55,2061,3574,418,14296
1,"Pago Pago, TT",2,0,0,0,3,2,0,10
1,"Palm Springs, CA",108,14,139,0,137,258,58,1431
1,"Panama City, FL",30,5,39,0,51,70,5,417
1,"Pasco/Kennewick/Richland, WA",34,40,49,0,15,95,10,371
1,"Pellston, MI",6,5,4,0,0,11,12,52
1,"Pensacola, FL",72,19,76,0,110,162,16,857
1,"Peoria, IL",22,31,41,0,33,80,33,284
1,"Petersburg, AK",2,2,8,0,10,13,3,60
1,"Philadelphia, PA",849,180,1165,7,854,1742,183,6943
1,"Phoenix, AZ",1785,59,1448,15,1834,3074,326,15889
1,"Pittsburgh, PA",219,35,436,0,312,618,75,3250
1,"Plattsburgh, NY",1,3,8,0,8,14,0,40
1,"Pocatello, ID",4,5,4,0,0,8,0,62
1,"Ponce, PR",11,0,14,0,11,19,1,92
1,"Portland, ME",47,15,70,0,69,114,42,599
1,"Portland, OR",422,155,463,3,375,904,394,4275
1,"Portsmouth, NH",3,1,4,0,2,7,0,23
1,"Prescott, AZ",4,2,4,0,4,11,0,62
1,"Providence, RI",95,17,137,1,128,212,42,968
1,"Provo, UT",16,8,15,0,6,28,2,166
1,"Punta Gorda, FL",67,13,41,0,68,113,8,540
1,"Raleigh/Durham, NC",460,30,532,2,519,920,118,4490
1,"Rapid City, SD",29,18,23,0,17,56,6,295
1,"Redding, CA",2,0,3,0,3,6,0,93
1,"Reno, NV",104,32,127,0,125,249,22,1545
1,"Rhinelander, WI",5,2,1,0,0,7,1,61
1,"Richmond, VA",134,16,212,3,142,313,19,1332
1,"Riverton/Lander, WY",2,0,2,0,2,5,2,39
1,"Roanoke, VA",35,7,34,0,41,65,15,256
1,"Rochester, MN",5,1,1,0,5,10,5,89
1,"Rochester, NY",113,21,156,1,132,231,43,956
1,"Rock Springs, WY",1,0,4,0,2,6,1,39
1,"Rockford, IL",3,2,9,0,3,13,0,65
1,"Roswell, NM",12,1,7,0,0,14,3,62
1,"Sacramento, CA",306,22,231,3,358,610,57,4144
1,"Saginaw/Bay City/Midland, MI",31,18,34,0,15,65,21,164
1,"Saipan, TT",1,0,0,0,0,1,0,31
1,"Salina, KS",0,1,5,0,8,10,7,61
1,"Salt Lake City, UT",1301,245,1125,5,690,2080,103,9459
1,"San Angelo, TX",5,11,8,1,11,24,2,93
1,"San Antonio, TX",264,27,275,2,347,558,100,3282
1,"San Diego, CA",544,64,637,12,676,1179,353,7075
1,"San Francisco, CA",1120,59,913,1,948,1969,574,10133
1,"San Jose, CA",295,11,238,1,313,564,74,3832
1,"San Juan, PR",544,9,501,7,558,846,28,3027
1,"San Luis Obispo, CA",31,2,29,0,27,61,1,351
1,"Sanford, FL",79,12,58,0,66,132,10,744
1,"Santa Ana, CA",302,19,318,2,379,625,39,3642
1,"Santa Barbara, CA",32,6,47,1,53,98,5,543
1,"Santa Fe, NM",18,6,14,0,3,28,2,124
1,"Santa Maria, CA",2,0,0,0,2,3,0,9
1,"Santa Rosa, CA",7,8,15,0,26,44,4,250
1,"Sarasota/Bradenton, FL",145,12,123,2,242,314,35,1585
1,"Sault Ste. Marie, MI",11,5,6,0,0,16,6,61
1,"Savannah, GA",122,12,98,1,137,221,24,1333
1,"Scottsbluff, NE",0,1,3,0,3,4,2,51
1,"Scranton/Wilkes-Barre, PA",16,6,14,0,19,34,3,128
1,"Seattle, WA",1365,233,1187,15,1098,2575,965,11751
1,"Sheridan, WY",4,1,2,1,1,7,5,61
1,"Shreveport, LA",17,12,41,0,37,64,26,307
1,"Sioux City, IA",4,1,3,0,5,10,7,61
1,"Sioux Falls, SD",57,57,122,1,55,169,22,570
1,"Sitka, AK",4,0,9,0,14,19,6,92
1,"South Bend, IN",95,50,100,0,47,173,47,507
1,"Spokane, WA",122,52,157,2,102,272,46,1288
1,"Springfield, IL",1,3,4,0,3,6,0,12
1,"Springfield, MO",68,62,126,0,79,173,31,605
1,"St. Cloud, MN",1,1,3,0,2,5,0,18
1,"St. George, UT",18,5,16,0,6,31,0,207
1,"St. Louis, MO",689,56,675,1,761,1178,224,4935
1,"St. Petersburg, FL",36,17,41,0,61,97,5,580
1,"State College, PA",2,0,1,0,0,2,3,23
1,"Stillwater, OK",3,4,7,0,0,9,5,62
1,"Stockton, CA",2,1,8,1,12,13,0,39
1,"Sun Valley/Hailey/Ketchum, ID",14,16,26,0,19,52,5,264
1,"Syracuse, NY",87,17,127,0,102,202,30,1071
1,"Tallahassee, FL",44,4,46,2,61,89,7,480
1,"Tampa, FL",699,24,623,1,864,1283,214,6822
1,"Texarkana, AR",9,4,5,0,2,16,6,69
1,"Toledo, OH",4,2,7,0,5,8,0,38
1,"Traverse City, MI",27,13,44,0,25,70,19,211
1,"Trenton, NJ",17,0,33,0,32,55,18,245
1,"Tucson, AZ",113,20,116,0,136,262,14,1582
1,"Tulsa, OK",103,31,162,0,132,268,33,1218
1,"Twin Falls, ID",2,3,4,0,0,4,2,62
1,"Tyler, TX",13,6,11,0,6,26,8,93
1,"Valdosta, GA",2,0,2,0,4,5,0,62
1,"Valparaiso, FL",37,12,41,0,56,90,7,553
1,"Vernal, UT",2,0,6,0,2,5,0,52
1,"Victoria, TX",2,0,4,0,4,8,3,53
1,"Waco, TX",14,4,6,0,7,22,7,93
1,"Walla Walla, WA",8,2,6,0,5,15,13,62
1,"Washington, DC",1496,507,1988,16,1636,3256,936,15474
1,"West Palm Beach/Palm Beach, FL",373,22,321,3,446,645,106,2909
1,"White Plains, NY",168,41,194,2,148,307,36,1074
1,"Wichita Falls, TX",9,8,8,0,2,19,5,62
1,"Wichita, KS",70,22,112,0,75,171,20,748
1,"Williston, ND",19,5,20,0,7,34,8,149
1,"Wilmington, NC",24,10,42,0,59,86,15,500
1,"Worcester, MA",14,1,16,0,11,22,9,101
1,"Wrangell, AK",2,0,8,0,13,15,3,60
1,"Yakutat, AK",0,1,9,0,12,14,4,60
1,"Yuma, AZ",11,1,11,0,3,19,0,111
2,"Aberdeen, SD",2,2,0,0,0,4,0,58
2,"Abilene, TX",6,1,11,0,7,16,0,141
2,"Adak Island, AK",0,0,0,0,0,0,1,8
2,"Aguadilla, PR",12,1,21,0,28,34,5,200
2,"Akron, OH",17,1,12,0,7,26,0,251
2,"Albany, GA",6,3,1,0,0,9,0,58
2,"Albany, NY",49,5,57,1,45,96,3,883
2,"Albuquerque, NM",121,16,131,2,125,242,7,1632
2,"Alexandria, LA",13,3,9,0,7,22,1,144
2,"Allentown/Bethlehem/Easton, PA",16,2,16,0,12,33,3,334
2,"Alpena, MI",4,4,2,0,0,8,0,50
2,"Amarillo, TX",22,4,35,0,14,50,1,393
2,"Anchorage, AK",58,13,103,0,48,149,7,1071
2,"Appleton, WI",41,14,24,0,13,75,3,435
2,"Arcata/Eureka, CA",14,5,24,0,16,49,5,138
2,"Asheville, NC",36,3,54,0,36,80,3,753
2,"Ashland, WV",8,0,6,0,8,9,0,17
2,"Aspen, CO",88,66,149,22,85,305,78,906
2,"Atlanta, GA",1975,63,1650,11,858,2937,21,24821
2,"Atlantic City, NJ",18,1,39,1,17,53,1,282
2,"Augusta, GA",24,8,8,0,7,34,0,239
2,"Austin, TX",420,23,543,3,455,887,21,5873
2,"Bakersfield, CA",9,1,8,0,5,18,2,179
2,"Baltimore, MD",587,12,462,2,465,932,18,6894
2,"Bangor, ME",9,0,23,0,14,30,4,235
2,"Barrow, AK",0,1,6,1,5,7,1,29
2,"Baton Rouge, LA",33,6,25,0,21,47,1,386
2,"Beaumont/Port Arthur, TX",2,0,6,0,2,5,0,58
2,"Belleville, IL",7,3,7,0,11,14,0,55
2,"Bellingham, WA",8,1,18,0,6,22,2,200
2,"Bemidji, MN",2,1,1,0,0,3,2,58
2,"Bend/Redmond, OR",51,30,88,1,27,131,7,475
2,"Bethel, AK",4,7,23,12,11,27,2,58
2,"Billings, MT",20,3,32,0,7,45,0,248
2,"Binghamton, NY",2,0,1,0,1,2,0,29
2,"Birmingham, AL",70,20,75,1,85,150,4,1227
2,"Bishop, CA",1,2,11,0,9,18,7,50
2,"Bismarck/Mandan, ND",24,9,23,0,6,43,0,259
2,"Bloomington/Normal, IL",7,4,10,0,8,19,0,133
2,"Boise, ID",99,12,121,1,89,226,7,1480
2,"Boston, MA",842,20,733,12,517,1344,109,10118
2,"Bozeman, MT",54,28,135,0,63,180,7,801
2,"Brainerd, MN",1,1,0,0,0,2,0,50
2,"Bristol/Johnson City/Kingsport, TN",7,1,3,0,6,12,0,161
2,"Brownsville, TX",1,0,2,0,3,5,0,108
2,"Brunswick, GA",6,2,5,0,0,7,0,58
2,"Buffalo, NY",94,15,120,3,90,201,14,1572
2,"Burbank, CA",115,9,171,3,172,338,49,2063
2,"Burlington, VT",27,7,34,0,22,62,3,474
2,"Butte, MT",1,1,2,0,0,2,0,54
2,"Casper, WY",0,0,0,0,0,0,0,29
2,"Cedar City, UT",1,0,0,0,0,1,0,50
2,"Cedar Rapids/Iowa City, IA",30,0,29,0,31,59,2,561
2,"Champaign/Urbana, IL",4,2,6,0,6,11,0,116
2,"Charleston, SC",107,2,114,1,114,210,7,1706
2,"Charleston/Dunbar, WV",35,3,16,0,9,42,0,252
2,"Charlotte Amalie, VI",55,10,105,0,80,145,10,515
2,"Charlotte, NC",1701,30,1463,82,1429,2633,26,15768
2,"Charlottesville, VA",18,0,27,0,9,37,5,237
2,"Chattanooga, TN",40,5,34,0,29,64,1,496
2,"Cheyenne, WY",1,2,4,0,2,6,2,54
2,"Chicago, IL",1648,265,1618,8,1240,3101,65,24789
2,"Christiansted, VI",11,0,30,1,22,39,1,137
2,"Cincinnati, OH",141,25,213,0,125,337,16,3006
2,"Clarksburg/Fairmont, WV",3,1,1,0,3,4,0,13
2,"Cleveland, OH",151,9,165,0,165,316,17,2966
2,"College Station/Bryan, TX",5,0,9,0,4,12,0,87
2,"Colorado Springs, CO",56,14,99,0,70,154,10,854
2,"Columbia, MO",5,2,10,0,7,15,0,129
2,"Columbia, SC",33,3,25,2,26,52,3,483
2,"Columbus, GA",11,3,3,0,0,14,0,78
2,"Columbus, MS",1,0,0,0,1,1,0,58
2,"Columbus, OH",172,50,257,10,153,414,16,3099
2,"Concord, NC",4,1,5,0,10,14,2,59
