week_number,dest_city,bool_carrier_delay_min,bool_weather_delay_min,bool_traffic_delay_min,bool_security_delay_min,bool_late_aircraft_delay_min,is_late,cancelled,flight_number
1,"Fort Lauderdale, FL",381,25,463,13,332,678,29,2606
1,"Fort Myers, FL",140,10,195,0,123,277,15,1158
1,"Fort Smith, AR",0,0,0,0,1,0,0,26
1,"Fort Wayne, IN",9,2,3,0,6,15,1,98
1,"Fresno, CA",27,4,27,0,21,49,0,273
1,"Gainesville, FL",1,1,2,0,2,4,0,62
1,"Garden City, KS",2,0,0,0,0,2,0,18
1,"Gillette, WY",2,0,0,0,0,2,0,17
1,"Grand Forks, ND",1,2,4,0,2,5,0,32
1,"Grand Island, NE",2,1,0,0,1,3,0,25
1,"Grand Junction, CO",4,0,2,0,1,6,0,84
1,"Grand Rapids, MI",51,6,23,0,45,82,4,461
1,"Great Falls, MT",2,1,2,0,0,3,0,52
1,"Green Bay, WI",6,0,5,0,5,13,0,83
1,"Greensboro/High Point, NC",16,4,10,0,13,28,2,231
1,"Greer, SC",22,0,19,1,22,40,2,320
1,"Guam, TT",0,0,0,0,0,0,0,18
1,"Gulfport/Biloxi, MS",5,1,4,0,3,9,0,73
1,"Gunnison, CO",4,0,0,0,3,5,0,37
1,"Hagerstown, MD",1,0,1,0,0,1,0,7
1,"Hancock/Houghton, MI",1,1,1,0,0,2,0,17
1,"Harlingen/San Benito, TX",10,0,5,0,15,20,0,109
1,"Harrisburg, PA",15,3,10,0,7,22,3,117
1,"Hartford, CT",83,1,61,2,63,113,19,478
1,"Hattiesburg/Laurel, MS",1,1,1,0,0,2,0,14
1,"Hayden, CO",19,0,8,0,15,24,0,125
1,"Hays, KS",3,0,1,0,0,3,0,16
1,"Helena, MT",1,2,1,0,2,5,0,48
1,"Hibbing, MN",0,1,1,0,0,1,0,14
1,"Hilo, HI",27,0,1,1,15,27,2,176
1,"Hilton Head, SC",3,2,1,0,2,5,0,20
1,"Hobbs, NM",0,0,0,0,0,0,0,4
1,"Honolulu, HI",150,2,21,17,129,202,23,1573
1,"Houston, TX",455,18,379,11,351,702,46,4053
1,"Huntsville, AL",11,3,7,0,8,18,0,160
1,"Idaho Falls, ID",6,0,5,0,4,9,0,89
1,"Indianapolis, IN",125,5,75,3,95,173,6,1023
1,"International Falls, MN",1,2,0,0,0,3,0,14
1,"Iron Mountain/Kingsfd, MI",0,2,2,0,0,3,0,16
1,"Islip, NY",31,0,18,0,37,44,2,152
1,"Ithaca/Cortland, NY",1,0,2,0,0,2,1,17
1,"Jackson, WY",22,4,13,0,8,29,2,179
1,"Jackson/Vicksburg, MS",13,0,7,0,6,18,0,152
1,"Jacksonville, FL",87,3,68,2,82,134,2,735
1,"Jacksonville/Camp Lejeune, NC",2,0,1,0,0,2,0,30
1,"Jamestown, ND",1,0,1,0,0,1,1,15
1,"Johnstown, PA",0,0,1,0,1,2,2,18
1,"Joplin, MO",0,0,1,0,0,1,0,14
1,"Juneau, AK",7,2,6,0,9,18,1,92
1,"Kahului, HI",59,0,11,1,41,77,13,715
1,"Kalamazoo, MI",0,0,2,0,0,2,0,18
1,"Kalispell, MT",6,2,5,0,6,12,0,85
1,"Kansas City, MO",144,5,86,3,130,212,2,1138
1,"Kearney, NE",0,0,0,0,1,1,0,3
1,"Ketchikan, AK",5,0,7,0,1,7,0,50
1,"Key West, FL",20,2,39,0,15,48,2,249
1,"Killeen, TX",2,1,1,0,3,5,0,43
1,"Knoxville, TN",36,1,24,1,41,59,1,334
1,"Kodiak, AK",1,1,2,0,1,3,3,13
1,"Kona, HI",40,0,11,0,32,53,9,436
1,"Kotzebue, AK",0,1,1,0,1,1,0,8
1,"Lafayette, LA",6,0,7,0,1,7,0,63
1,"Lake Charles, LA",3,1,0,0,0,4,0,26
1,"Lansing, MI",2,0,1,0,0,2,0,18
1,"Laramie, WY",0,0,0,0,0,0,1,14
1,"Laredo, TX",3,0,3,0,2,6,0,40
1,"Las Vegas, NV",484,20,386,6,484,767,23,4549
1,"Latrobe, PA",2,0,2,0,0,2,0,9
1,"Lawton/Fort Sill, OK",3,0,0,0,2,3,0,24
1,"Lewiston, ID",1,0,1,0,0,0,0,27
1,"Lexington, KY",18,2,15,0,13,23,0,179
1,"Liberal, KS",2,0,1,0,0,2,0,14
1,"Lihue, HI",38,1,6,0,23,42,0,404
1,"Lincoln, NE",6,0,6,0,2,11,0,33
1,"Little Rock, AR",22,5,21,1,24,44,0,276
1,"Long Beach, CA",35,2,21,1,34,51,1,428
1,"Longview, TX",0,0,0,0,0,0,0,17
1,"Los Angeles, CA",561,35,384,8,339,780,31,4645
1,"Louisville, KY",51,2,36,4,45,82,1,510
1,"Lubbock, TX",14,1,8,1,15,27,6,152
1,"Madison, WI",18,2,12,0,15,27,0,222
1,"Manchester, NH",10,1,5,0,14,16,6,122
1,"Manhattan/Ft. Riley, KS",4,0,1,0,3,5,0,26
1,"Marquette, MI",0,0,0,0,0,0,0,11
1,"Mason City, IA",4,0,1,0,2,6,0,14
1,"Medford, OR",8,1,7,0,4,12,0,115
1,"Melbourne, FL",5,1,4,1,6,12,0,66
1,"Memphis, TN",48,5,30,2,47,79,0,477
1,"Meridian, MS",3,0,0,0,1,4,0,14
1,"Miami, FL",390,28,492,11,314,703,12,3070
1,"Midland/Odessa, TX",20,2,21,1,20,38,0,226
1,"Milwaukee, WI",84,5,47,1,73,130,2,625
1,"Minneapolis, MN",201,27,134,5,94,307,6,2778
1,"Minot, ND",7,0,2,0,0,7,0,61
1,"Mission/McAllen/Edinburg, TX",7,0,5,0,6,11,0,85
1,"Missoula, MT",9,4,6,0,4,16,0,82
1,"Moab, UT",1,0,0,0,0,1,1,7
1,"Mobile, AL",4,0,1,0,3,5,0,52
1,"Moline, IL",7,0,1,0,4,10,0,101
1,"Monroe, LA",3,0,1,1,0,4,0,44
1,"Monterey, CA",14,2,10,0,11,23,0,95
1,"Montgomery, AL",2,1,0,0,3,4,0,40
1,"Montrose/Delta, CO",13,0,16,0,13,23,1,118
1,"Morgantown, WV",0,0,0,0,0,0,0,4
1,"Mosinee, WI",0,1,0,0,0,1,1,18
1,"Myrtle Beach, SC",21,6,18,0,12,37,0,227
1,"Nashville, TN",251,12,178,2,224,371,11,2310
1,"New Orleans, LA",152,6,138,4,155,260,9,1215
1,"New York, NY",610,25,491,8,464,908,34,5406
1,"Newark, NJ",285,11,212,5,186,402,57,2875
1,"Newburgh/Poughkeepsie, NY",1,0,0,0,0,1,0,15
1,"Niagara Falls, NY",1,0,0,0,1,2,0,15
1,"Nome, AK",0,0,0,0,1,1,0,8
1,"Norfolk, VA",52,0,32,0,30,69,0,413
1,"North Bend/Coos Bay, OR",1,1,0,0,0,2,0,5
1,"North Platte, NE",1,0,0,0,0,1,0,14
1,"Oakland, CA",133,3,65,3,145,194,6,1095
1,"Oklahoma City, OK",61,0,33,0,59,91,1,520
1,"Omaha, NE",71,4,38,2,57,98,1,556
1,"Ontario, CA",67,3,44,1,56,98,1,602
1,"Orlando, FL",546,19,576,12,551,980,42,4347
1,"Pago Pago, TT",0,0,0,0,0,0,0,5
1,"Palm Springs, CA",35,1,27,0,44,74,3,417
1,"Panama City, FL",10,2,9,0,11,17,0,126
1,"Pasco/Kennewick/Richland, WA",15,3,10,0,2,21,1,133
1,"Pellston, MI",3,0,1,0,0,3,1,15
1,"Pensacola, FL",25,3,23,0,19,36,0,267
1,"Peoria, IL",6,2,10,0,6,15,0,85
1,"Petersburg, AK",0,0,1,0,3,3,0,16
1,"Philadelphia, PA",244,7,226,7,245,416,9,2062
1,"Phoenix, AZ",575,40,473,18,529,943,29,5004
1,"Pittsburgh, PA",108,6,72,2,103,168,4,905
1,"Plattsburgh, NY",4,1,6,0,0,7,1,25
1,"Pocatello, ID",1,0,0,0,0,1,0,17
1,"Ponce, PR",3,1,3,0,2,6,0,36
1,"Portland, ME",15,4,20,0,14,29,16,175
1,"Portland, OR",164,11,137,3,131,264,23,1376
1,"Portsmouth, NH",0,0,1,0,0,1,1,14
1,"Prescott, AZ",2,0,1,0,0,2,0,18
1,"Presque Isle/Houlton, ME",0,0,0,0,0,0,0,2
1,"Providence, RI",49,5,30,0,43,68,10,308
1,"Provo, UT",11,2,10,0,12,22,3,71
1,"Punta Gorda, FL",36,8,66,0,40,83,4,245
1,"Raleigh/Durham, NC",165,10,108,2,140,233,2,1252
1,"Rapid City, SD",6,4,4,0,5,15,0,105
1,"Redding, CA",1,0,1,0,0,2,0,31
1,"Reno, NV",54,2,30,1,47,78,1,506
1,"Rhinelander, WI",1,1,1,0,0,2,0,16
1,"Richmond, VA",46,0,29,2,50,76,1,382
1,"Riverton/Lander, WY",1,0,0,0,0,1,0,13
1,"Roanoke, VA",5,0,4,0,4,8,1,52
1,"Rochester, MN",0,1,2,0,1,2,0,25
1,"Rochester, NY",19,3,13,1,14,33,7,262
1,"Rock Springs, WY",0,1,0,0,1,2,0,13
1,"Rockford, IL",2,1,0,0,0,2,0,27
1,"Roswell, NM",2,0,1,0,0,2,0,19
1,"Sacramento, CA",161,2,111,4,185,265,5,1295
1,"Saginaw/Bay City/Midland, MI",9,0,4,0,4,12,0,38
1,"Saipan, TT",0,0,0,0,0,0,0,9
1,"Salina, KS",2,0,2,0,2,4,0,17
1,"Salt Lake City, UT",254,49,178,6,204,427,3,2786
1,"San Angelo, TX",3,1,2,0,0,3,0,26
1,"San Antonio, TX",142,4,110,2,123,205,4,1000
1,"San Diego, CA",296,8,229,9,252,441,22,2260
1,"San Francisco, CA",334,25,359,7,235,605,63,3249
1,"San Jose, CA",130,5,77,4,148,202,8,1192
1,"San Juan, PR",199,6,139,2,129,264,12,1063
1,"San Luis Obispo, CA",18,0,16,0,16,31,0,127
1,"Sanford, FL",50,5,47,0,49,88,2,313
1,"Santa Ana, CA",93,5,68,4,85,154,3,1077
1,"Santa Barbara, CA",24,2,17,1,25,41,3,164
1,"Santa Fe, NM",5,1,3,0,4,10,0,44
1,"Santa Maria, CA",1,0,0,0,0,1,0,3
1,"Santa Rosa, CA",6,0,9,0,9,16,1,93
1,"Sarasota/Bradenton, FL",61,4,72,0,51,114,11,512
1,"Sault Ste. Marie, MI",4,2,1,0,0,6,0,16
1,"Savannah, GA",45,2,39,0,42,76,1,414
1,"Scottsbluff, NE",0,0,0,0,0,0,0,14
1,"Scranton/Wilkes-Barre, PA",4,2,2,0,6,9,0,34
1,"Seattle, WA",306,45,292,5,227,558,99,3640
1,"Sheridan, WY",2,0,0,0,1,3,0,17
1,"Shreveport, LA",10,2,7,0,6,17,0,88
1,"Sioux City, IA",0,0,1,0,2,2,0,17
1,"Sioux Falls, SD",19,0,8,1,10,26,0,164
1,"Sitka, AK",0,0,1,0,3,3,0,26
1,"South Bend, IN",13,2,9,0,13,23,0,155
1,"Spokane, WA",43,6,29,1,33,73,4,384
1,"Springfield, IL",1,0,0,0,1,1,0,6
1,"Springfield, MO",19,1,12,0,16,27,0,204
1,"St. Cloud, MN",1,0,1,0,0,1,0,6
1,"St. George, UT",3,2,3,0,0,5,0,65
1,"St. Louis, MO",158,3,98,6,163,242,6,1469
1,"St. Petersburg, FL",37,8,39,1,42,79,4,271
1,"State College, PA",3,0,0,0,2,5,3,21
1,"Stillwater, OK",1,0,0,0,0,1,0,18
1,"Stockton, CA",2,1,5,0,3,6,0,18
1,"Sun Valley/Hailey/Ketchum, ID",4,1,4,0,0,6,0,78
1,"Syracuse, NY",34,6,32,0,20,53,7,286
1,"Tallahassee, FL",10,1,6,1,8,14,0,122
1,"Tampa, FL",254,10,270,4,217,435,12,2105
1,"Texarkana, AR",1,0,0,0,0,1,0,25
1,"Toledo, OH",2,1,2,2,1,5,0,18
1,"Traverse City, MI",5,0,3,0,3,8,0,80
1,"Trenton, NJ",9,0,4,0,11,17,2,66
1,"Tucson, AZ",38,5,34,1,37,74,1,484
1,"Tulsa, OK",36,1,20,3,39,60,0,369
1,"Twin Falls, ID",2,0,0,0,0,2,0,17
1,"Tyler, TX",1,0,0,0,0,1,0,26
1,"Valdosta, GA",1,0,0,0,0,1,0,18
1,"Valparaiso, FL",15,2,10,0,17,28,1,185
1,"Vernal, UT",0,0,0,0,0,0,0,11
1,"Victoria, TX",1,0,1,0,1,2,0,15
1,"Waco, TX",2,2,2,0,0,5,0,26
1,"Walla Walla, WA",1,1,0,0,0,2,0,14
1,"Washington, DC",377,20,300,6,303,581,41,4002
1,"West Palm Beach/Palm Beach, FL",116,3,126,2,94,209,9,903
1,"White Plains, NY",45,5,35,1,42,71,1,290
1,"Wichita Falls, TX",2,0,0,0,0,0,0,18
1,"Wichita, KS",23,1,18,1,18,33,0,202
1,"Williston, ND",5,2,4,0,1,8,0,43
1,"Wilmington, NC",14,1,4,2,9,20,0,147
1,"Worcester, MA",1,0,3,0,1,3,5,24
1,"Wrangell, AK",0,0,2,0,3,3,1,16
1,"Yakutat, AK",0,0,2,0,3,3,0,16
1,"Yuma, AZ",3,0,2,0,0,3,0,36
2,"Aberdeen, SD",1,1,2,0,0,2,0,14
2,"Abilene, TX",6,6,9,0,11,15,0,34
2,"Adak Island, AK",0,0,0,0,0,0,0,2
2,"Aguadilla, PR",13,1,7,0,10,16,0,57
2,"Akron, OH",7,3,12,0,5,15,8,56
2,"Albany, GA",3,1,0,0,0,4,0,14
2,"Albany, NY",35,9,19,0,37,59,5,193
2,"Albuquerque, NM",65,9,55,0,74,113,11,390
2,"Alexandria, LA",8,3,3,0,2,11,3,35
2,"Allentown/Bethlehem/Easton, PA",6,3,4,0,8,13,4,72
2,"Alpena, MI",2,0,0,0,0,2,9,12
2,"Amarillo, TX",16,3,16,0,21,34,6,88
2,"Anchorage, AK",46,15,80,5,61,119,31,255
2,"Appleton, WI",21,7,22,0,13,44,17,101
2,"Arcata/Eureka, CA",4,3,6,0,1,9,1,34
2,"Asheville, NC",20,4,19,0,23,40,7,182
2,"Ashland, WV",0,0,0,0,0,0,0,4
2,"Aspen, CO",43,17,47,0,14,85,25,213
2,"Atlanta, GA",755,198,1048,5,786,1653,105,5777
2,"Atlantic City, NJ",9,1,9,0,5,12,3,61
2,"Augusta, GA",15,2,7,0,7,20,3,60
2,"Austin, TX",259,44,338,4,267,484,82,1432
2,"Bakersfield, CA",2,1,2,0,3,5,0,40
2,"Baltimore, MD",225,20,165,9,279,390,107,1661
2,"Bangor, ME",2,1,4,0,4,6,7,56
2,"Barrow, AK",1,0,0,0,1,1,2,7
2,"Baton Rouge, LA",14,7,19,0,15,32,4,87
2,"Beaumont/Port Arthur, TX",2,2,2,0,4,6,1,14
2,"Belleville, IL",2,1,1,0,1,3,1,13
2,"Bellingham, WA",5,0,5,0,4,10,0,44
2,"Bemidji, MN",2,3,2,0,0,5,0,14
2,"Bend/Redmond, OR",20,5,24,1,3,31,8,109
2,"Bethel, AK",4,0,3,0,3,6,1,14
2,"Billings, MT",11,4,11,0,10,18,1,60
2,"Binghamton, NY",1,2,2,0,1,3,1,7
2,"Birmingham, AL",55,13,48,0,62,101,12,296
2,"Bishop, CA",0,0,1,0,1,2,1,12
2,"Bismarck/Mandan, ND",9,6,10,0,7,24,6,61
2,"Bloomington/Normal, IL",5,4,7,0,10,13,2,33
2,"Boise, ID",87,16,83,0,51,130,8,352
2,"Boston, MA",358,55,190,0,326,522,85,2291
2,"Bozeman, MT",41,14,43,0,25,65,18,177
2,"Brainerd, MN",0,1,1,0,0,1,0,12
2,"Bristol/Johnson City/Kingsport, TN",8,2,3,0,4,12,0,42
2,"Brownsville, TX",3,2,4,0,7,9,2,25
2,"Brunswick, GA",6,1,3,0,0,8,0,14
2,"Buffalo, NY",43,8,28,0,33,72,119,369
2,"Burbank, CA",73,6,42,0,69,115,14,502
2,"Burlington, VT",21,1,14,0,13,30,4,123
2,"Butte, MT",2,0,0,0,0,2,0,13
2,"Casper, WY",2,1,2,0,1,4,0,12
2,"Cedar City, UT",1,0,0,0,0,1,0,12
2,"Cedar Rapids/Iowa City, IA",18,10,24,1,16,37,39,131
2,"Champaign/Urbana, IL",0,6,9,0,10,12,2,27
2,"Charleston, SC",61,9,68,0,57,109,16,391
2,"Charleston/Dunbar, WV",16,6,8,0,7,28,7,61
2,"Charlotte Amalie, VI",15,4,22,0,13,31,0,126
2,"Charlotte, NC",429,165,518,6,572,941,89,3650
2,"Charlottesville, VA",6,2,5,0,6,11,5,57
2,"Chattanooga, TN",10,7,16,0,22,32,10,106
2,"Cheyenne, WY",0,1,1,0,3,4,1,13
2,"Chicago, IL",768,174,1101,6,905,1780,916,5790
2,"Christiansted, VI",8,1,9,0,5,10,0,33
2,"Cincinnati, OH",104,18,103,1,106,183,15,695
2,"Clarksburg/Fairmont, WV",1,0,1,0,1,2,0,5
2,"Cleveland, OH",113,18,90,2,103,187,71,715
2,"College Station/Bryan, TX",0,3,5,0,2,6,1,21
2,"Colorado Springs, CO",47,5,43,2,49,82,6,213
2,"Columbia, MO",0,3,6,0,4,7,11,28
2,"Columbia, SC",17,8,18,0,21,38,7,114
2,"Columbus, GA",8,1,4,0,0,9,2,19
2,"Columbus, MS",2,0,2,0,2,3,0,14
2,"Columbus, OH",113,25,98,1,126,205,19,733
2,"Concord, NC",0,0,1,0,1,2,0,14
2,"Cordova, AK",2,0,2,0,5,7,0,14
2,"Corpus Christi, TX",9,5,23,0,27,36,3,71
2,"Dallas, TX",220,10,288,2,269,414,101,1327
2,"Dallas/Fort Worth, TX",946,462,1666,24,1286,2426,225,5272
2,"Dayton, OH",16,6,22,0,14,35,2,128
2,"Daytona Beach, FL",5,1,6,0,2,6,1,44
2,"Deadhorse, AK",1,0,0,0,1,2,2,11
2,"Decatur, IL",4,0,5,0,1,7,5,19
2,"Denver, CO",782,128,946,4,814,1539,431,5177
2,"Des Moines, IA",51,16,77,0,49,105,76,285
2,"Detroit, MI",313,94,339,2,278,617,184,2099
2,"Devils Lake, ND",1,0,0,0,0,1,4,13
2,"Dickinson, ND",1,0,0,0,0,1,3,11
2,"Dodge City, KS",1,0,2,0,1,2,3,13
2,"Dothan, AL",4,1,3,0,1,6,0,14
2,"Duluth, MN",5,5,9,0,0,9,4,33
2,"Durango, CO",13,3,8,0,10,21,2,60
2,"Eagle, CO",22,8,37,0,17,51,1,139
2,"El Paso, TX",36,10,40,1,66,84,10,279
2,"Elko, NV",1,0,1,0,0,1,0,7
2,"Elmira/Corning, NY",3,3,2,0,0,5,2,18
2,"Escanaba, MI",2,1,1,0,0,3,1,12
2,"Eugene, OR",13,3,20,0,10,27,35,129
2,"Evansville, IN",5,4,5,0,7,13,1,35
2,"Everett, WA",3,0,6,0,6,8,8,25
2,"Fairbanks, AK",12,1,15,0,6,20,1,42
2,"Fargo, ND",16,7,19,0,12,35,12,118
2,"Fayetteville, AR",24,19,65,1,35,79,9,215
2,"Fayetteville, NC",2,3,5,0,2,6,1,28
2,"Flagstaff, AZ",2,3,1,0,0,5,0,24
2,"Flint, MI",6,2,7,0,12,16,4,36
2,"Fort Dodge, IA",0,0,1,0,2,2,3,12
2,"Fort Lauderdale, FL",359,50,565,8,323,717,102,1907
2,"Fort Myers, FL",163,27,258,1,139,323,50,865
2,"Fort Smith, AR",5,2,2,0,5,8,4,21
2,"Fort Wayne, IN",8,4,11,0,11,18,7,69
2,"Fresno, CA",38,3,33,0,37,68,5,193
2,"Gainesville, FL",1,3,3,0,3,5,4,42
2,"Garden City, KS",1,2,1,0,0,3,5,14
2,"Gillette, WY",0,1,1,0,0,2,2,14
2,"Grand Forks, ND",8,0,5,0,2,8,0,27
2,"Grand Island, NE",2,4,4,0,0,7,2,19
2,"Grand Junction, CO",13,2,12,0,3,21,2,61
2,"Grand Rapids, MI",47,11,50,1,52,94,62,341
2,"Great Falls, MT",7,3,7,0,5,15,4,51
2,"Green Bay, WI",14,9,18,0,10,30,15,76
2,"Greensboro/High Point, NC",28,10,28,0,36,61,11,205
2,"Greer, SC",34,19,44,0,46,78,8,275
2,"Guam, TT",1,0,0,0,1,1,0,14
2,"Gulfport/Biloxi, MS",5,5,11,0,10,15,3,53
2,"Gunnison, CO",5,2,5,0,3,12,1,21
2,"Hagerstown, MD",0,0,0,0,0,0,0,3
2,"Hancock/Houghton, MI",3,0,1,0,0,3,7,14
2,"Harlingen/San Benito, TX",9,2,11,0,16,21,2,74
2,"Harrisburg, PA",15,3,5,0,7,21,2,78
2,"Hartford, CT",70,16,53,2,67,106,12,366
