week_number,origin_city,bool_carrier_delay_min,bool_weather_delay_min,bool_traffic_delay_min,bool_security_delay_min,bool_late_aircraft_delay_min,is_late,cancelled,flight_number
1,"Fort Lauderdale, FL",589,8,508,40,459,794,26,2609
1,"Fort Myers, FL",179,9,151,0,211,291,23,1153
1,"Fort Smith, AR",4,0,3,0,0,5,0,26
1,"Fort Wayne, IN",21,1,16,0,9,29,1,98
1,"Fresno, CA",20,3,16,2,25,36,1,271
1,"Gainesville, FL",2,0,1,0,1,3,1,62
1,"Garden City, KS",3,0,1,0,0,3,0,18
1,"Gillette, WY",1,0,0,0,2,3,0,17
1,"Grand Forks, ND",3,1,5,0,4,6,0,32
1,"Grand Island, NE",4,0,2,0,1,4,0,25
1,"Grand Junction, CO",6,0,5,0,4,8,0,84
1,"Grand Rapids, MI",42,4,44,0,38,85,3,460
1,"Great Falls, MT",4,3,6,0,2,8,0,52
1,"Green Bay, WI",6,0,5,0,4,13,0,83
1,"Greensboro/High Point, NC",15,0,11,0,10,24,1,231
1,"Greer, SC",19,0,21,1,22,37,0,319
1,"Guam, TT",1,0,1,0,1,2,0,18
1,"Gulfport/Biloxi, MS",2,0,3,0,3,7,0,73
1,"Gunnison, CO",3,0,4,1,6,6,0,37
1,"Hagerstown, MD",1,0,0,0,0,1,0,7
1,"Hancock/Houghton, MI",2,2,1,0,1,5,0,17
1,"Harlingen/San Benito, TX",3,0,4,0,9,14,0,109
1,"Harrisburg, PA",11,4,18,0,14,27,3,117
1,"Hartford, CT",53,9,61,6,56,98,20,479
1,"Hattiesburg/Laurel, MS",0,0,0,0,2,2,0,14
1,"Hayden, CO",21,0,25,0,25,37,0,125
1,"Hays, KS",1,0,1,0,1,2,0,16
1,"Helena, MT",3,0,2,0,2,7,0,48
1,"Hibbing, MN",3,1,0,0,0,4,0,14
1,"Hilo, HI",17,0,0,16,18,32,2,177
1,"Hilton Head, SC",3,0,2,0,5,6,0,20
1,"Hobbs, NM",1,0,0,0,0,1,0,4
1,"Honolulu, HI",190,6,39,2,98,229,24,1568
1,"Houston, TX",490,10,378,7,424,755,40,4053
1,"Huntsville, AL",19,1,13,0,8,28,0,160
1,"Idaho Falls, ID",10,3,8,0,2,14,0,89
1,"Indianapolis, IN",74,3,99,1,79,153,6,1025
1,"International Falls, MN",1,2,0,0,0,3,0,14
1,"Iron Mountain/Kingsfd, MI",2,0,1,0,0,2,0,16
1,"Islip, NY",14,2,27,0,22,39,0,152
1,"Ithaca/Cortland, NY",0,0,3,0,2,3,1,17
1,"Jackson, WY",23,1,15,0,19,37,3,179
1,"Jackson/Vicksburg, MS",9,0,9,0,8,15,2,151
1,"Jacksonville, FL",54,5,44,0,68,93,3,735
1,"Jacksonville/Camp Lejeune, NC",1,0,2,0,2,3,0,30
1,"Jamestown, ND",0,0,0,0,1,1,1,15
1,"Johnstown, PA",1,0,2,0,2,2,2,18
1,"Joplin, MO",0,0,0,0,0,0,0,14
1,"Juneau, AK",5,0,7,0,8,12,0,92
1,"Kahului, HI",88,6,18,0,67,114,17,714
1,"Kalamazoo, MI",1,0,1,0,0,2,0,18
1,"Kalispell, MT",12,0,17,2,7,25,0,84
1,"Kansas City, MO",111,0,147,1,112,216,3,1139
1,"Kearney, NE",0,0,0,0,0,0,0,3
1,"Ketchikan, AK",0,0,2,0,5,5,0,50
1,"Key West, FL",37,1,33,15,46,63,2,250
1,"Killeen, TX",3,0,6,0,4,7,0,43
1,"Knoxville, TN",30,0,25,1,26,48,1,333
1,"Kodiak, AK",1,0,0,0,1,2,2,13
1,"Kona, HI",35,1,13,0,26,41,12,436
1,"Kotzebue, AK",0,0,1,0,1,1,0,8
1,"Lafayette, LA",4,3,1,0,6,8,0,63
1,"Lake Charles, LA",4,0,0,0,1,5,0,26
1,"Lansing, MI",2,0,2,0,0,3,0,18
1,"Laramie, WY",0,0,0,0,0,0,1,14
1,"Laredo, TX",1,0,1,0,3,4,0,40
1,"Las Vegas, NV",508,13,321,1,462,753,18,4555
1,"Latrobe, PA",0,0,0,0,2,2,0,9
1,"Lawton/Fort Sill, OK",1,0,0,0,1,1,0,24
1,"Lewiston, ID",1,0,1,0,0,1,0,27
1,"Lexington, KY",11,0,9,1,14,22,1,178
1,"Liberal, KS",1,0,1,0,0,1,2,14
1,"Lihue, HI",48,2,21,0,40,68,0,405
1,"Lincoln, NE",1,0,1,0,6,7,0,33
1,"Little Rock, AR",22,8,20,0,19,48,0,276
1,"Long Beach, CA",28,0,11,0,36,41,0,428
1,"Longview, TX",2,0,1,0,0,2,0,18
1,"Los Angeles, CA",447,18,308,4,350,680,31,4650
1,"Louisville, KY",21,3,35,0,32,55,1,510
1,"Lubbock, TX",7,6,3,0,12,18,6,152
1,"Madison, WI",9,1,20,1,12,32,0,224
1,"Manchester, NH",8,3,13,0,11,21,6,122
1,"Manhattan/Ft. Riley, KS",2,0,2,0,4,6,0,26
1,"Marquette, MI",0,0,0,0,0,0,0,11
1,"Mason City, IA",1,1,2,0,6,8,0,14
1,"Medford, OR",5,0,1,0,2,7,0,115
1,"Melbourne, FL",5,0,0,0,9,9,0,66
1,"Memphis, TN",36,1,37,0,32,68,0,475
1,"Meridian, MS",0,0,0,0,1,1,0,14
1,"Miami, FL",576,2,512,9,492,844,17,3071
1,"Midland/Odessa, TX",14,5,12,2,11,30,0,226
1,"Milwaukee, WI",62,3,46,0,42,99,2,626
1,"Minneapolis, MN",234,22,201,0,71,339,4,2779
1,"Minot, ND",8,0,6,1,1,9,0,62
1,"Mission/McAllen/Edinburg, TX",6,0,2,2,7,12,2,85
1,"Missoula, MT",8,6,12,0,8,23,0,82
1,"Moab, UT",1,0,0,0,0,1,1,7
1,"Mobile, AL",4,0,1,0,1,5,0,52
1,"Moline, IL",6,2,7,0,4,12,0,102
1,"Monroe, LA",2,0,3,0,3,6,0,44
1,"Monterey, CA",10,2,10,0,10,19,0,95
1,"Montgomery, AL",5,0,2,0,1,5,0,40
1,"Montrose/Delta, CO",8,0,13,1,12,19,1,118
1,"Morgantown, WV",1,0,0,0,0,1,0,4
1,"Mosinee, WI",0,0,0,0,1,1,1,18
1,"Myrtle Beach, SC",7,0,12,0,14,22,0,228
1,"Nashville, TN",199,3,187,0,232,372,8,2312
1,"New Orleans, LA",153,2,129,1,171,255,8,1219
1,"New York, NY",578,37,541,6,390,912,34,5398
1,"Newark, NJ",271,31,242,2,195,447,57,2872
1,"Newburgh/Poughkeepsie, NY",2,1,4,0,1,5,0,15
1,"Niagara Falls, NY",2,0,4,0,0,4,0,15
